Source sentence,Answer sentence,event1,event2,label,type
 causal </s></s> unrelated </s></s> “ She ’ s in rehab right now . Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . ,rehab is the cause of entered ,rehab ,entered ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> “ She ’ s in rehab right now . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",rehab is the cause of checked into ,rehab ,checked into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . “ She ’ s in rehab right now . ",required is the cause of rehab ,required ,rehab ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",case is the cause of required ,case ,required ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . ",settling in is the cause of remain ,settling in ,remain ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . ",choice is the cause of objected ,choice ,objected ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . ",hearing is the cause of agreed ,hearing ,agreed ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",required is the cause of treatment ,required ,treatment ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . ",agreed is the cause of stay ,agreed ,stay ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",shopping is the cause of checked into ,shopping ,checked into ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . ,shopping is the cause of entered ,shopping ,entered ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . Lawyer : Lindsay Lohan checks into California rehab ",treatment is the cause of checks into ,treatment ,checks into ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . ,allowed has no relation to stay ,allowed ,stay ,NONE,intra
" causal </s></s> unrelated </s></s> “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . ",argued has no relation to remain ,argued ,remain ,NONE,inter
" causal </s></s> unrelated </s></s> “ She ’ s in rehab right now . Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . ",rehab has no relation to hearing ,rehab ,hearing ,NONE,inter
" causal </s></s> unrelated </s></s> Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",agreed has no relation to case ,agreed ,case ,NONE,inter
" causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",reported has no relation to treatment ,reported ,treatment ,NONE,inter
" causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",shopping has no relation to said ,shopping ,said ,NONE,inter
" causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . ",reported has no relation to choice ,reported ,choice ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . Lawyer : Lindsay Lohan checks into California rehab ",receive has no relation to checks into ,receive ,checks into ,NONE,inter
" causal </s></s> unrelated </s></s> Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",stay has no relation to required ,stay ,required ,NONE,inter
 causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . ,entered has no relation to reported ,entered ,reported ,NONE,intra
" causal </s></s> unrelated </s></s> “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . ",ensconced has no relation to agreed ,ensconced ,agreed ,NONE,inter
 causal </s></s> unrelated </s></s> Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . “ She ’ s in rehab right now . ,reported has no relation to rehab ,reported ,rehab ,NONE,inter
" causal </s></s> unrelated </s></s> Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",remain has no relation to case ,remain ,case ,NONE,inter
" causal </s></s> unrelated </s></s> “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . ",ensconced has no relation to case ,ensconced ,case ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . ",driving has no relation to shopping ,driving ,shopping ,NONE,inter
" causal </s></s> unrelated </s></s> Superior Court Judge James R . Dabney agreed in the hearing that Lohan should remain at Morningside , although the actress ’ whereabouts were unknown . Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . ",remain has no relation to argued ,remain ,argued ,NONE,inter
" causal </s></s> unrelated </s></s> “ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities . Celebrity website TMZ reported Lohan was shopping at an electronics store while her attorney was in court and that she never entered Morningside . ",ensconced has no relation to entered ,ensconced ,entered ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan ’ s attorney said Thursday the actress checked into a California rehab facility , but a state official said it is unlicensed to perform the type of restrictive in - patient treatment a judge required the actress to receive in a misdemeanor driving case . Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement . ",unlicensed has no relation to told ,unlicensed ,told ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",checked into is the cause of stay ,checked into ,stay ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' ",order is the cause of Checks Into ,order ,Checks Into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",order is the cause of checked into ,order ,checked into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",flout is the cause of arrested ,flout ,arrested ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",Knows is the cause of check  in ,Knows ,check  in ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",order is the cause of check  in ,order ,check  in ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> She is interested in going back to Betty Ford because she knows everyone there . "" ",knows is the cause of going back ,knows ,going back ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . She is interested in going back to Betty Ford because she knows everyone there . "" ",order is the cause of going back ,order ,going back ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> She is interested in going back to Betty Ford because she knows everyone there . "" Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",going back is the cause of stay ,going back ,stay ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' She is interested in going back to Betty Ford because she knows everyone there . "" ",Knows is the cause of going back ,Knows ,going back ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' ,Knows is the cause of Checks Into ,Knows ,Checks Into ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> She is interested in going back to Betty Ford because she knows everyone there . "" Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",knows is the cause of checked into ,knows ,checked into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",Checks Into is the cause of stay ,Checks Into ,stay ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> She is interested in going back to Betty Ford because she knows everyone there . "" Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' ",knows is the cause of Checks Into ,knows ,Checks Into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",Knows is the cause of checked into ,Knows ,checked into ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ""And she showed up [ at Morningside Recovery ] in the morning and hated it . ",order is the cause of showed up ,order ,showed up ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",check  in is the cause of stay ,check  in ,stay ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> She is interested in going back to Betty Ford because she knows everyone there . "" Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",knows is the cause of check  in ,knows ,check  in ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' ",said has no relation to Checks Into ,said ,Checks Into ,NONE,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ""And she showed up [ at Morningside Recovery ] in the morning and hated it . ",continued has no relation to hated ,continued ,hated ,NONE,inter
" causal </s></s> unrelated </s></s> Lohan , who has been in rehab a total of five times before this , was previously in Betty Ford in 2010 . She is interested in going back to Betty Ford because she knows everyone there . "" ",was has no relation to going back ,was ,going back ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",confirms has no relation to said ,confirms ,said ,NONE,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",check  in has no relation to said ,check  in ,said ,NONE,intra
" causal </s></s> unrelated </s></s> ""And she showed up [ at Morningside Recovery ] in the morning and hated it . She is interested in going back to Betty Ford because she knows everyone there . "" ",showed up has no relation to interested ,showed up ,interested ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . Lohan , who has been in rehab a total of five times before this , was previously in Betty Ford in 2010 . ",confirms has no relation to was ,confirms ,was ,NONE,inter
" causal </s></s> unrelated </s></s> Lohan , who has been in rehab a total of five times before this , was previously in Betty Ford in 2010 . Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",was has no relation to arrested ,was ,arrested ,NONE,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",order has no relation to continued ,order ,continued ,NONE,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",Knows has no relation to confirms ,Knows ,confirms ,NONE,inter
" causal </s></s> unrelated </s></s> She is interested in going back to Betty Ford because she knows everyone there . "" Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",knows has no relation to flout ,knows ,flout ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . She is interested in going back to Betty Ford because she knows everyone there . "" ",checked into has no relation to going back ,checked into ,going back ,NONE,inter
" causal </s></s> unrelated </s></s> Lohan , who has been in rehab a total of five times before this , was previously in Betty Ford in 2010 . Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",in rehab has no relation to stay ,in rehab ,stay ,NONE,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",continued has no relation to checked into ,continued ,checked into ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",Checks Into has no relation to check  in ,Checks Into ,check  in ,NONE,inter
" causal </s></s> unrelated </s></s> ""And she showed up [ at Morningside Recovery ] in the morning and hated it . Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",hated has no relation to arrested ,hated ,arrested ,NONE,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . She is interested in going back to Betty Ford because she knows everyone there . "" ",arrested has no relation to going back ,arrested ,going back ,NONE,inter
" causal </s></s> unrelated </s></s> She is interested in going back to Betty Ford because she knows everyone there . "" Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",knows has no relation to reported ,knows ,reported ,NONE,inter
" causal </s></s> unrelated </s></s> Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",continued has no relation to stay ,continued ,stay ,NONE,inter
" causal </s></s> unrelated </s></s> Lohan , who has been in rehab a total of five times before this , was previously in Betty Ford in 2010 . Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . ",was has no relation to continued ,was ,continued ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",chose is the cause of investigation ,chose ,investigation ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending ",chose is the cause of Investigation ,chose ,Investigation ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . ",bailed is the cause of flew ,bailed ,flew ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",Investigation has no relation to checked into ,Investigation ,checked into ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",Checks Into has no relation to investigation ,Checks Into ,investigation ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . ",chose has no relation to approved ,chose ,approved ,NONE,inter
" causal </s></s> unrelated </s></s> This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",flew has no relation to investigation ,flew ,investigation ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",Pending has no relation to remain ,Pending ,remain ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . ",investigation has no relation to approved ,investigation ,approved ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",checked into has no relation to remain ,checked into ,remain ,NONE,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . ",checked into has no relation to flew ,checked into ,flew ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",Checks Into has no relation to checked into ,Checks Into ,checked into ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",Investigation has no relation to checked into ,Investigation ,checked into ,NONE,inter
" causal </s></s> unrelated </s></s> This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending ",flew has no relation to Checks Into ,flew ,Checks Into ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",chose has no relation to checked into ,chose ,checked into ,NONE,intra
" causal </s></s> unrelated </s></s> This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",bailed has no relation to chose ,bailed ,chose ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending ",remain has no relation to Checks Into ,remain ,Checks Into ,NONE,inter
