Source sentence,Answer sentence,Event1,Event2,labels
"War - Zone Athens : three people dead , many buildings burning as general strike march turns into a battle ",march is the cause of battle ,march ,battle ,Cause-Effect
"Sudan Bombs South Sudanese Refugee Camp , Reports Say One of the bombs landed in a school yard where about 300 students were attending class , but the bomb did not explode , Boyette said , citing aid workers at the camp . ",Say have no relationship to class ,Say ,class ,NONE
A jury has handed down a guilty verdict for one of the two men accused of murdering a Brownsville mother of 12 . Andrew Lopez was found guilty of second - degree murder and two counts of first - degree assault in the death of Zurana Horton . ,accused is the cause of guilty ,accused ,guilty ,Cause-Effect
"Protesters enraged over the fatal shooting of a teenager by police poured into Brooklyn streets for a third straight night Wednesday , pitching bricks , bottles and garbage in furious clashes with cops . Police struggled to control a hostile crowd that broke away from a planned peaceful vigil for Kimani ( Kiki ) Gray , 16 , killed by police on Saturday night . ",shooting is the cause of vigil ,shooting ,vigil ,Cause-Effect
"The Nov . 30 escape by Arcade Joseph Comeaux Jr . , a convicted rapist recaptured last month after eight days on the run in Baytown and Houston , has led to unprecedented fallout at the prison unit where he was housed , with the largest number of TDCJ employees ever facing termination or disciplinary action because of a single incident , said TDCJ Inspector General John Moriarty . ",on the run is the cause of recaptured ,on the run ,recaptured ,Cause-Effect
Trial Begins for Kraft Shooting Suspect Hiller is also charged with attempted murder for allegedly shooting and injuring a third co - worker . ,Shooting is the cause of injuring ,Shooting ,injuring ,Cause-Effect
"The police said that two plainclothes officers fatally shot the teenager , Kimani Gray , just before 11 : 30 p . m . on Saturday after he brandished a revolver and pointed it at them . First came the shooting : an armed teenager killed by police officers on a darkened Brooklyn street . ",pointed is the cause of shooting ,pointed ,shooting ,Cause-Effect
"And so were the two women she's accused of gunning down with a . 357 Magnum , just minutes after she'd been suspended and escorted from the building . ",accused have no relationship to suspended ,accused ,suspended ,NONE
Jewellery and watches worth £1 . 7m have been stolen during a heist in an upmarket central Paris shop . The heist near Place Vendome is the latest to hit France after a spate of high - profile robberies in the southern resort of Cannes . ,worth have no relationship to robberies ,worth ,robberies ,NONE
"Receptionist Madeline Kafoury was standing in the doorway of Riva's office , and the gunman fatally shot her in the midsection , Whiteside said . Fired Accountant Goes on Shooting Spree ",standing is the cause of Shooting ,standing ,Shooting ,Cause-Effect
"Lindsay Lohan Checks Into Betty Ford Clinic , Rehires Attorney Shawn Holley A source tells The Associated Press that the Liz & Dick star is now receiving treatment at the Betty Ford Center in Rancho Mirage , Calif . where she has spent time before . ",Checks Into have no relationship to tells ,Checks Into ,tells ,NONE
"Aceh was hit extremely hard by the massive ""Boxing Day"" earthquake and tsunami in 2004 , killing 170 , 000 people in Sumatra alone - with 35 , 000 bodies never recovered . A powerful 6 . 1 magnitude earthquake hit Indonesia's northwestern Aceh province , on the island of Sumatra . ",recovered have no relationship to hit ,recovered ,hit ,NONE
"Williams' publicist , Harlan Boll , confirmed her death to the Associated Press on Thursday . Championship swimmer - turned - legendary Hollywood actress Esther Williams has died . ",death have no relationship to turned ,death ,turned ,NONE
"Hooded youths hurled petrol bombs at stores and businesses in the center of the capital Athens and demonstrators tried to storm parliament during the general strike , as the rioting spread to the northern city of Thessaloniki . ",rioting is the cause of hurled ,rioting ,hurled ,Cause-Effect
"PROVISIONAL TRIAL DATE SET FOR CUMBRIA DOUBLE MURDER ACCUSED A provisional trial date has been set in the case of a son accused of killing his mother , sister and pet dog . ",DOUBLE MURDER is the cause of trial ,DOUBLE MURDER ,trial ,Cause-Effect
"On Friday , 36 - year - old Duncan Rait died after slipping and falling about 60m from a ridge near the Tasman Glacier . He'd been dropped off by helicopter with a group and was walking to a hut when he fell , sliding down a steep slope and over a cliff . ",falling is the cause of sliding ,falling ,sliding ,Cause-Effect
"Deputy Luis Gerardo ""Jerry"" Ortiz , 35 , was shot outside a Hawaiian Gardens apartment building while investigating Jose Luis Orozco in connection with another shooting . A Norwalk jury on Tuesday ordered execution for a gang member convicted of murdering a Los Angeles County Sheriff's deputy in June 2005 . ",investigating have no relationship to ordered ,investigating ,ordered ,NONE
"It also found true special circumstances of murder of a police officer intentionally killed while performing his duties , murder to avoid arrest , street gang murder , lying in wait . . . and that Orozco personally used a handgun to commit the murder and the attempted murder , the D . A . 's release says . Hawaiian Gardens Gangmember Convicted Of Murdering Lakewood Stn . Sheriff's Deputy Jerry Ortiz ",murder is the cause of Convicted ,murder ,Convicted ,Cause-Effect
Anthony LaCalamita III was found guilty of first - degree murder and assault with intent to murder in the shotgun slaying of 63 - year - old Madeline Kafoury and assault with intent to kill in the shootings of Paul Riva and Alan Steinberg at the accounting firm . Jury finds suspect in Troy office shooting guilty ,shootings is the cause of guilty ,shootings ,guilty ,Cause-Effect
"Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . She is interested in going back to Betty Ford because she knows everyone there . "" ",order is the cause of going back ,order ,going back ,Cause-Effect
An orderly protest over the death of an armed 16 - year - old turned into a riot in Brooklyn tonight after young people started lashing out at NYPD officers . 'It sounds like a war zone' : Chaos in Brooklyn as 100 teenagers 'riot' on the streets following vigil of 16 - year - old who was shot dead by NYPD plainclothes cops ,lashing out is the cause of Chaos ,lashing out ,Chaos ,Cause-Effect
"Andrew Lopez , 20 , was found guilty of slaying Zurana Horton , 34 , and wounding Unique Armstead , 32 , and Cheanne McKnight , 11 , in October 2011 as he targeted rival gang members . Gang member guilty in slay of Brooklyn mom of 12 ",targeted is the cause of slay ,targeted ,slay ,Cause-Effect
Jose Luis Orozco showed almost no emotion throughout the three - week trial in which he was convicted of the 2005 murder of Los Angeles County Sheriff's Deputy Jerry Ortiz . A convicted cop killer laughed Tuesday after hearing a jury's ruling that he be put to death . ,convicted have no relationship to put ,convicted ,put ,NONE
"In a surprising move nearly three weeks following the end of their season , the Sixers fired Jim O'Brien on Monday after one season as coach and replaced him with Cheeks , one of the most popular players in franchise history . O'Brien's stubbornness and seemingly unwavering belief in a system that didn't fit his players cost him his job despite a 43 - 39 record and a return to the playoffs . ",fired have no relationship to fit ,fired ,fit ,NONE
"The woman who allegedly shot three co - workers — killing two– at the Kraft Plant Thursday night has been charged with murder , attempted murder , aggravated assault , burglary , and other related charges , says Philadelphia District Attorney Seth Williams . CHARGED WITH MURDER : What most of the liberal media won't tell you about the ""very spiritual' female Kraft employee who shot three co - workers ",charged have no relationship to tell ,charged ,tell ,NONE
"CHP Officer Brian Pennings said that the blood had been drawn well after Williams' arrest , meaning he could have been intoxicated when officers had pulled him over . The City Attorney's Office is considering whether to file misdemeanor drunk - driving charges against Chargers defensive lineman Jamal Williams . ",pulled over have no relationship to misdemeanor drunk  driving ,pulled over ,misdemeanor drunk  driving ,NONE
"In a surprising move nearly three weeks following the end of their season , the Sixers fired Jim O'Brien on Monday after one season as coach and replaced him with Cheeks , one of the most popular players in franchise history . Maurice Cheeks is running the show again for the Philadelphia 76ers . ",fired is the cause of running show ,fired ,running show ,Cause-Effect
"When Monday's violence had concluded , the receptionist - - Madeline Kafoury - - was shot dead and two managers , Paul Riva and Alan Steinberg , were wounded . Steinberg was shot in the hip and has spoken to police about the attack , while Riva had not yet regained consciousness and was on a ventilator . ",shot is the cause of attack ,shot ,attack ,Cause-Effect
"The actress has left the Betty Ford Centre and gone to Malibu's Cliffside resort . Lindsay hasn't messed around in getting to the new facility either and she is reportedly already a patient of the Cliffside rehab centre , having checked out of the Betty Ford Centre on Thursday ( June 13 ) this week and committing herself to Cliffside almost immediately afterward . ",left is the cause of committing ,left ,committing ,Cause-Effect
"A 6 . 1 - magnitude earthquake which hit the Indonesian province of Aceh on Tuesday killed at least one person , injured dozens and destroyed buildings , sparking panic in a region devastated by the quake - triggered tsunami of 2004 . ",6  1  magnitude earthquake is the cause of destroyed ,6  1  magnitude earthquake ,destroyed ,Cause-Effect
"Cooley said Jose Luis Orozco was charged with murdering the 35 - year - old deputy on June 24 outside a Hawaiian Gardens apartment . “ The defendant ’ s custody status gave Sheriff ’ s detectives and our prosecutors in the Crimes Against Police Officers Section ( CAPOS ) additional time to fully investigate this murder and the case on which Deputy Ortiz was working when he was killed , ” Cooley said . ",murdering is the cause of investigate ,murdering ,investigate ,Cause-Effect
"Lindsay Lohan Checks Into Court - Ordered Rehab Attorney Mark Jay Heller told LA Superior Court Judge James R . Dabney that Lohan , 26 , had checked into Morningside Recovery in Newport Beach , CA , according to the Associated Press . ",Ordered have no relationship to checked into ,Ordered ,checked into ,NONE
"During the escape , Arcade Joseph Comeaux , Jr . allegedly produced a weapon and fired upon two correctional officers , took them hostage and forced them to drive to Baytown , Texas , where he restrained the officers in the back of the van , took their firearms and one of their uniforms . ",fired is the cause of escape ,fired ,escape ,Cause-Effect
"A smash - and - grab on a high end Paris store saw four robbers make off with jewelry and watches valued at over $2 . 6 million early Monday . After scooping up jewelry and watches estimated to be worth 2 million euros ( $2 . 6 million ) the thieves reversed their car out of the store and set fire to it before making off in another vehicle , Le Monde reported . ",smash is the cause of scooping up ,smash ,scooping up ,Cause-Effect
A man has denied arson following a fire at a Somerset supermarket early on Sunday . ,denied have no relationship to fire ,denied ,fire ,NONE
"“ Tonight was a peaceful vigil that devolved into a riot , ” Williams wrote . Police intervened after more than 100 people joined together for a candlelit vigil in the East Flatbush neighborhood in Brooklyn , New York , where 16 - year - old Kimani Gray was shot multiple times by police on Saturday . ",vigil is the cause of joined ,vigil ,joined ,Cause-Effect
"A goth was being questioned on suspicion of murder yesterday after his mother and sister were found dead at home . John Jenkin , 23 , was arrested near the terraced house where Alice McMeekin , 58 , and Katie Jenkin , 20 , and a dead dog , thought to be the family's pet collie , were discovered ",questioned have no relationship to discovered ,questioned ,discovered ,NONE
"Yvonne Hiller , who has been arrested and charged with the Kraft shooting of her co - workers at Kraft Foods yesterday evening has been revealed to be a Muslim who was very spiritual . Yvonne Hiller , Accused in Kraft Shooting , Is A Muslim ",revealed have no relationship to Accused ,revealed ,Accused ,NONE
Briton dies in New Zealand's Aoraki Mount Cook National Park Mr Buckley's death came a day after 36 - year - old Duncan Rait was killed after slipping and falling 200ft from a ridge in the same national park . ,dies have no relationship to killed ,dies ,killed ,NONE
"Lindsay Lohan's lawyer says the actress checked into rehab on Thursday , but the facility has not been officially sanctioned by the court that ordered her to serve 90 days of treatment . Attorney Mark Jay Heller told LA Superior Court Judge James R . Dabney that Lohan , 26 , had checked into Morningside Recovery in Newport Beach , CA , according to the Associated Press . ",sanctioned have no relationship to checked into ,sanctioned ,checked into ,NONE
"And so were the two women she's accused of gunning down with a . 357 Magnum , just minutes after she'd been suspended and escorted from the building . Kenneth Dorsey says the woman accused of killing two co - workers and critically injuring a third at the Kraft plant in Northeast Philly is a good person . ",gunning down is the cause of accused ,gunning down ,accused ,Cause-Effect
"A fired accountant bought a shotgun the day after he lost his job , then returned to the office the following week and opened fire on his bosses , wounding both and killing a receptionist , the Associated Press reported . Fired Accountant Goes on Shooting Spree ",bought is the cause of Shooting ,bought ,Shooting ,Cause-Effect
"Hiller was charged with two counts of murder , one count of attempted murder , aggravated assault and other charges . Kraft Shooting : Yvonne Hiller Charged With Two Counts Of Murder ",assault is the cause of Charged ,assault ,Charged ,Cause-Effect
"Comeaux escaped Monday morning as transport officers tried to move him in a TDCJ van from the Estelle prison unit in Huntsville to the Stiles Unit in Beaumont . TDCJ officials could answer few questions about how convicted rapist Arcade Joseph Comeaux Jr . , 49 , escaped Monday from a prison van in Baytown after pulling a gun and handcuffing two transport officers , stealing their three guns and walking away . ",tried is the cause of walking ,tried ,walking ,Cause-Effect
Lindsay Lohan is MIA after pretending to check into unlicensed Calif . rehab center Lohan reportedly pulled up to Morningside in an SUV but the vehicle left without the actress ever getting out . ,check into have no relationship to left ,check into ,left ,NONE
"A repair vessel has been notified of the call - out and mobilization will occur immediately once permits are received , "" SEACOM said in an official statement . ""The outage initially affected all SEACOM traffic to Europe , however SEACOM was able to restore some services by Saturday afternoon [ 8 October 2011 ] . "" ",said have no relationship to affected ,said ,affected ,NONE
"Her lawyer negotiated with court officials to change the venue of her 90 - day treatment , and the actress traveled to nearby Rancho Mirage to register as a patient . After leaving rehab in Newport Beach , Calif . , less than an hour after checking in on Thursday , Lindsay Lohan admitted herself to the Betty Ford Center , according to TMZ . com . ",negotiated have no relationship to according ,negotiated ,according ,NONE
By 8 . 30am crews were using thermal imaging cameras to identify hotspots and an investigation into the cause of the fire was under way . FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . ,investigation have no relationship to fight ,investigation ,fight ,NONE
"Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone' Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",Checks Into is the cause of stay ,Checks Into ,stay ,Cause-Effect
Lohan was previously at Betty Ford from September 2010 to January 2011 after a probation violation in a prior drunk driving case . ,case is the cause of violation ,case ,violation ,Cause-Effect
"John Jenkin , 23 , was arrested near the terraced house where Alice McMeekin , 58 , and Katie Jenkin , 20 , and a dead dog , thought to be the family's pet collie , were discovered ",discovered is the cause of arrested ,discovered ,arrested ,Cause-Effect
"A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" ",walked is the cause of question ,walked ,question ,Cause-Effect
"""The earthquake was really strong , and people poured into the streets in panic . Ten people are killed and about 50 hurt . ",earthquake is the cause of killed ,earthquake ,killed ,Cause-Effect
"Throughout WWII , she was a popular pinup for GIs , and her personality and self - deprecating wit kept her popular afterwards . Williams , 91 , passed away early Thursday in her sleep , according to her publicist . ",popular have no relationship to passed ,popular ,passed ,NONE
"Indian Naval Ship Sukanya , deployed on anti - piracy patrols in the Gulf of Aden under the operational control of the Western Naval Command , thwarted a multiple - boat attack by pirates on Thursday and rescued 26 Somali crewmembers . ",deployed have no relationship to rescued ,deployed ,rescued ,NONE
"“ The “ Mean Girls ” star fooled an L . A Superior Court judge , a Santa Monica prosecutor and apparently her own lawyer , by pretending to check into a rehabilitation facility , but chickening out when she got there . Prosecutor Terry White told The Post a couple hours after a court hearing — where Lohan ’ s lawyer Mark Heller said she was “ ensconced in the bosom ” of Morningside Recovery in Newport Beach — “ I hear she ’ s on her way to LAX and getting on a flight back to New York . ” ",chickening out is the cause of flight ,chickening out ,flight ,Cause-Effect
"Cheeks , who played for the Sixers for 11 seasons and served as an assistant coach for seven , was named coach after Jim O'Brien was relieved of his coaching duties . ",relieved have no relationship to duties ,relieved ,duties ,NONE
"The protesters launched rocks and petrol bombs at the officers , who responded with stun grenades and tear gas - filling Syntagma Square with chemical smoke . Three people have died after rioters in Greece set fire to a bank in Athens during a nationwide strike against huge spending cuts aimed at rescuing the country's economy . ",responded have no relationship to cuts ,responded ,cuts ,NONE
"ITNewsAfrica that ""a Telecom Egypt fiber line near Alexandria has been damaged resulting in loss of telecommunications for all three mobile operators . "" Reports on Tuesday morning indicated that a fiber optic cable in the northern part of Egypt had been damaged , resulting in the loss of all telecommunications in Egypt's second largest city of Alexandria and parts of the Nile Delta region . ",damaged is the cause of loss ,damaged ,loss ,Cause-Effect
"People also ran out of buildings in panic in the provincial capital Banda Aceh as the quake shook houses for around one minute , an AFP journalist at the scene said . ",shook have no relationship to ran ,shook ,ran ,NONE
FIRE crews from Tiverton and Cullompton were this morning called in to help fight a major blaze at the Waitrose supermarket in Wellington . The fire has destroyed a large section of the store and fire crews and investigators are still on the scene . ,fight is the cause of fire ,fight ,fire ,Cause-Effect
"Tremors from an earthquake registering 6 . 1 on the Richter scale 60km south west of Bandar Abbas in Iran were felt in Dubai today , prompting the evacuation of high - rise buildings on the Sheikh Zayed Road and in the Dubai Media City . ",registering have no relationship to felt ,registering ,felt ,NONE
"Actress and champion swimmer Esther Williams , who showcased a combination of glamour and athleticism by starring in several spectacular and splashy MGM musicals of the 1940s and '50s , has died . ",glamour have no relationship to athleticism ,glamour ,athleticism ,NONE
"Esther Williams , the swimming champion turned actress who starred in glittering and aquatic Technicolor musicals of the 1940s and 1950s , has died . Williams in a bathing suit became a favorite pinup of GI's in World War II , and her popularity continued afterward . ",died have no relationship to popularity ,died ,popularity ,NONE
"Gray was killed on March 9 by police who claim he pointed a gun at Sgt . Mourad Mourad and Officer Jovaniel Cordova before they opened fire . In the week following the fatal shooting of 16 - year - old Kimani Gray , several protests and riots have erupted in the teen's Brooklyn neighborhood as the cops involved have come under scrutiny for previous reported civil rights violations . ",killed is the cause of riots ,killed ,riots ,Cause-Effect
A spokesperson from Waitrose explained that no one was hurt in the incident and was grateful to the emergency services for their quick response and effective help . Investigations into what caused the fire are ongoing . ,incident is the cause of Investigations ,incident ,Investigations ,Cause-Effect
"Unfortunately , Morningside is unlicensed and photogs snapped her shopping for gadgets at the very moment of her alleged check in . ",snapped have no relationship to shopping ,snapped ,shopping ,NONE
"The U . S . Marshals have added to their ” 15 Most Wanted “ list of fugitives a man serving three life sentences who escaped custody during his transport from Huntsville , Texas , to Stiles , Texas . Comeaux fled on foot following his escape . ",transport is the cause of escape ,transport ,escape ,Cause-Effect
"Tehran's seismologic center said the quake measured magnitude - 5 . 9 , but the U . S . Geological Survey in Golden , Colo . , said it was a magnitude - 6 . 1 temblor . Strong earthquake jolts southern Iran , felt in Oman ",temblor is the cause of jolts ,temblor ,jolts ,Cause-Effect
"Cheeks said he would be , and King called him again yesterday and reached a deal after notifying O'Brien of his decision . ",reached is the cause of decision ,reached ,decision ,Cause-Effect
"To his credit , he managed to rise to his feet , but the referee then waved it off . ",rise is the cause of waved ,rise ,waved ,Cause-Effect
"On Friday , 36 - year - old Duncan Rait died after slipping and falling about 200ft from a ridge near the Tasman Glacier . ",falling is the cause of died ,falling ,died ,Cause-Effect
"Fans and family mourn her passing , but Williams had a long , full life . ",mourn is the cause of passing ,mourn ,passing ,Cause-Effect
"Horton was struck by a stray bullet as Lopez targeted rival gang members . Andrew Lopez , 20 was found guilty in murder of Zurana Horton . ",targeted is the cause of murder ,targeted ,murder ,Cause-Effect
"The shootings happened shortly after 8 : 30 p . m . Thursday . Minutes after a woman was suspended and escorted from her job at the Kraft Foods plant in Northeast Philadelphia , she returned with a . 357 Magnum and opened fire , killing two women and critically injuring a third co - worker before being taken into custody , police said . ",shootings have no relationship to returned ,shootings ,returned ,NONE
"Four men drove a 4x4 through the front window of the store on Rue de Castiglione , before making off with the jewellery and watches . Four men smash their car into a jewellery store before fleeing in a different vehicle in the latest high - profile heist in France . ",drove is the cause of heist ,drove ,heist ,Cause-Effect
"South Sudan : ""Sudan bombed refugee camp"" A reporter heard a large explosion in the Yida refugee camp , then saw a crater about two metres wide , an unexploded bomb wedged in the side of a school building and a white aircraft flying north . ",bombed is the cause of explosion ,bombed ,explosion ,Cause-Effect
"A 5 . 9 magnitude earthquake has leveled seven villages in Iran's southern area , killing 10 persons and wounding other 70 , Iranian officials were quoted by AP as saying . According to the same agency , the Deyrestan village saw serious destruction , while Tonban and Goursin were all but destroyed . ",earthquake is the cause of destruction ,earthquake ,destruction ,Cause-Effect
"O'Brien's stubbornness and seemingly unwavering belief in a system that didn't fit his players cost him his job despite a 43 - 39 record and a return to the playoffs . In a surprising move nearly three weeks following the end of their season , the Sixers fired Jim O'Brien on Monday after one season as coach and replaced him with Cheeks , one of the most popular players in franchise history . ",fit have no relationship to replaced ,fit ,replaced ,NONE
"A fired accountant bought a shotgun the day after he lost his job , then returned to the office the following week and opened fire on his bosses , wounding both and killing a receptionist , the Associated Press reported . ",bought have no relationship to lost ,bought ,lost ,NONE
Fired Accountant Goes on Shooting Spree ,Goes have no relationship to Shooting ,Goes ,Shooting ,NONE
"Esther Williams , who swam to stardom in the 1940's , dies at 91 Pinup girl Williams was the star of WWII - era ""aquatic musicals"" and helped make the sport of synchronized swimming popular . ",stardom have no relationship to helped ,stardom ,helped ,NONE
"Meanwhile , local Internet Service Providers ( ISPs ) who use bandwidth on the SEACOM cable have been scrambling to implement contingency plans to keep their customers connected"" . As MWEB also uses PeerApp's caching solution , it may help serve some P2P traffic without accessing the undersea cable . ",connected have no relationship to uses ,connected ,uses ,NONE
"A massive quake struck off Aceh in 2004 , sparking a tsunami that killed 170 , 000 people in the province on Sumatra and tens of thousands more in countries around the Indian Ocean . A powerful 6 . 1 - magnitude earthquake struck the Indonesian province of Aceh with no tsunami warning issued ",tsunami have no relationship to tsunami warning ,tsunami ,tsunami warning ,NONE
Greek Prime Minister Calls Bank Workers' Riot Deaths 'Murder' The two women and a man were killed during demonstrations by tens of thousands who marched through Athens . ,Riot is the cause of marched ,Riot ,marched ,Cause-Effect
"The suspect , Andrew Lopez , was among three teens arrested on Tuesday for the shooting that took place last Friday outside a Brownsville school that claimed the life of 34 - year old Zurana Horton . An 18 - year old male confessed to the gang related murder of a Brooklyn mother who tried to protect a group of school children from harm by shielding them . ",took place have no relationship to murder ,took place ,murder ,NONE
Indonesia earthquake : 24 dead and over 200 injured as 6 . 1 magnitude quake hits Aceh province The quake also triggered landslides and caused hundreds of people to be evacuated to 10 temporary shelters . ,6  1 magnitude quake is the cause of evacuated ,6  1 magnitude quake ,evacuated ,Cause-Effect
Three killed as rioters bomb Greek bank A firebomb attack on a bank in Greece killed at least three people today as police fought pitched battles with striking protesters furious at brutal budget cuts designed to avoid national bankruptcy . ,bomb is the cause of killed ,bomb ,killed ,Cause-Effect
"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations . In the week following the fatal shooting of 16 - year - old Kimani Gray , several protests and riots have erupted in the teen's Brooklyn neighborhood as the cops involved have come under scrutiny for previous reported civil rights violations . ",named have no relationship to scrutiny ,named ,scrutiny ,NONE
A third was also shot . ” Police say two people have been killed and another wounded in a shooting at the Kraft Foods plant in Northeast Philadelphia . ,shot is the cause of killed ,shot ,killed ,Cause-Effect
"A British man has been killed after falling around 2 , 000ft while climbing in New Zealand . New Zealand : British Climber Killed In Fall ",falling is the cause of Killed ,falling ,Killed ,Cause-Effect
Three die in bank during Greek riots Police responded with barrages of tear gas . ,riots is the cause of responded ,riots ,responded ,Cause-Effect
"Prior to this check - in to Betty Ford , which was first reported by TMZ . com , California prosecutors had said late Thursday that the troubled actress , 26 , would be arrested if she continued to flout a court order to enter a rehab facility . Lindsay Lohan checked into the Betty Ford Clinic in Rancho Mirage , Calif . , on Thursday night , for what is to be a three - month stay , her rep confirms to PEOPLE . ",check  in is the cause of stay ,check  in ,stay ,Cause-Effect
Magnitude - 6 . 1 quake hits Indonesia ; 1 dead ,Magnitude  6  1 quake is the cause of dead ,Magnitude  6  1 quake ,dead ,Cause-Effect
"On the streets of Athens , demonstrators chanted ""Thieves , thieves ! "" as they attempted to break through a riot police cordon guarding Parliament and chased ceremonial guards away from the Tomb of the Unknown Soldier in front of the building . Tear gas drifted across the city center as rioters hurled paving stones and fire bombs at police . ",break through is the cause of drifted ,break through ,drifted ,Cause-Effect
A second man has fallen to his death in Aoraki Mount Cook National Park . Second man dies in Mt Cook National Park ,fallen is the cause of dies ,fallen ,dies ,Cause-Effect
